University Name,Address
Charles Darwin University,"Charles Darwin University, Northern Territory, Australia"
"University of Alaska, Fairbanks","University of Alaska, Fairbanks, Alaska, United States"
McNeese State University,"McNeese State University, Louisiana, United States"
University of Exeter,"University of Exeter, Devon, United Kingdom"
Milwaukee School of Engineering,"Milwaukee School of Engineering, Wisconsin, United States"
Durham University,"Durham University, Durham, United Kingdom"
Loyola Marymount University,"Loyola Marymount University, California, United States"
Western New England University,"Western New England University, Massachusetts, United States"
Federation University Australia,"Federation University Australia, Victoria, Australia"
Waseda University,"Waseda University, Tokyo, Japan"
University of Victoria British Columbia,"University of Victoria British Columbia, British Columbia, Canada"
Jackson State University,"Jackson State University, Mississippi, United States"
Bucknell University,"Bucknell University, Pennsylvania, United States"
Montana Tech,"Montana Tech, Montana, United States"
University of Southern Queensland,"University of Southern Queensland, Queensland, Australia"
Université Grenoble-Alpes,"Université Grenoble-Alpes, Isère, France"
Merrimack College,"Merrimack College, Massachusetts, United States"
Luleå University of Technology,"Luleå University of Technology, Norrbottens l'n, Sweden"
University of Sherbrooke,"University of Sherbrooke, Sherbrooke, Canada"
Abertay University,"Abertay University, Dundee City, United Kingdom"
St Martin University,"St Martin University, Washington, United States"
Edinburgh Napier University,"Edinburgh Napier University, Edinburgh, United Kingdom"
The Hong Kong University of Science and Technology,"The Hong Kong University of Science and Technology, New Territories, Hong Kong"
University of Derby,"University of Derby, Derby, United Kingdom"
University of the West of Scotland,"University of the West of Scotland, London, United Kingdom"
Idaho State University,"Idaho State University, Idaho, United States"
"Technical University of Applied Sciences, Lübeck","Technical University of Applied Sciences, Lübeck, Lübeck, Germany"
"University of South Australia, Mawson Lakes","University of South Australia, Mawson Lakes, South Australia, Australia"
Canterbury Christ Church University,"Canterbury Christ Church University, Kent, United Kingdom"
CentraleSupelec,"CentraleSupelec, Chatenay-Malabry, France"
Northeastern University,"Northeastern University, Massachusetts, United States"
University of Bolton,"University of Bolton, Bolton, United Kingdom"
The University of Texas at Dallas,"The University of Texas at Dallas, Texas, United States"
"University of California, San Diego","University of California, San Diego, California, United States"
"University of California, Irvine","University of California, Irvine, California, United States"
"Rutgers University, New Brunswick","Rutgers University, New Brunswick, New Jersey, United States"
Rutgers University-New Brunswick,"Rutgers University-New Brunswick, New Jersey, United States"
"University of California, Davis","University of California, Davis, California, United States"
"University of Maryland, Baltimore County","University of Maryland, Baltimore County, Maryland, United States"
Georgia State University,"Georgia State University, Georgia, United States"
"Concordia University, Montreal","Concordia University, Montreal, Quebec, Canada"
"University of California, Santa Barbara","University of California, Santa Barbara, California, United States"
"California State University, East Bay","California State University, East Bay, California, United States"
"University of California,  Riverside","University of California,  Riverside, California, United States"
Simon Fraser University,"Simon Fraser University, British Columbia, Canada"
"Simon Fraser University, Burnaby","Simon Fraser University, Burnaby, British Columbia, Canada"
State University of New York at Binghamton,"State University of New York at Binghamton, New York, United States"
"Carleton University, Ottawa","Carleton University, Ottawa, Ottawa, Canada"
"University of California, Santa Cruz","University of California, Santa Cruz, California, United States"
"Rutgers University, Newark","Rutgers University, Newark, New Jersey, United States"
The George Washington University,"The George Washington University, District of Columbia, United States"
Indiana University - Purdue University Indianapolis,"Indiana University - Purdue University Indianapolis, Indiana, United States"
University of Houston - Clear Lake,"University of Houston - Clear Lake, Texas, United States"
Northern Illinois University,"Northern Illinois University, Illinois, United States"
"California State University, Northridge","California State University, Northridge, California, United States"
University of Rochester,"University of Rochester, New York, United States"
State University of New York (Albany),"State University of New York (Albany), New York, United States"
"University of Massachusetts, Boston","University of Massachusetts, Boston, Massachusetts, United States"
Pace University,"Pace University, New York, United States"
The University of Chicago,"The University of Chicago, Illinois, United States"
Wichita State University,"Wichita State University, Kansas, United States"
Wright State University,"Wright State University, Ohio, United States"
Brown University,"Brown University, Rhode Island, United States"
"California State University, Chico","California State University, Chico, California, United States"
The University of Central Missouri,"The University of Central Missouri, Missouri, United States"
University of San Francisco,"University of San Francisco, California, United States"
University of Illinois at Springfield,"University of Illinois at Springfield, Illinois, United States"
Case Western Reserve University,"Case Western Reserve University, Ohio, United States"
University of Iowa,"University of Iowa, Iowa, United States"
Texas A&M University - Corpus Christi,"Texas A&M University - Corpus Christi, Texas, United States"
Arkansas State University,"Arkansas State University, Arkansas, United States"
Western University,"Western University, Ontario, Canada"
Northwest Missouri State University,"Northwest Missouri State University, Missouri, United States"
University of Regina,"University of Regina, Saskatchewan, Canada"
University of Montreal,"University of Montreal, Montreal, Canada"
University of Massachusetts Dartmouth,"University of Massachusetts Dartmouth, Massachusetts, United States"
Texas A&M University-Commerce,"Texas A&M University-Commerce, Texas, United States"
Texas State University,"Texas State University, Texas, United States"
University of Ontario Institute of Technology,"University of Ontario Institute of Technology, Ontario, Canada"
Alabama A&M University,"Alabama A&M University, Alabama, United States"
University of Oxford,"University of Oxford, Oxfordshire, United Kingdom"
Purdue University Northwest,"Purdue University Northwest, Indiana, United States"
"New York Institute of Technology, Old Westbury","New York Institute of Technology, Old Westbury, New York, United States"
Tufts University,"Tufts University, Massachusetts, United States"
Hamburg University of Technology,"Hamburg University of Technology, Hamburg, Germany"
Central Michigan University,"Central Michigan University, Michigan, United States"
University of New Hampshire,"University of New Hampshire, New Hampshire, United States"
"KTH, Royal Institute of Technology","KTH, Royal Institute of Technology, Stockholms l'n, Sweden"
Chicago State University,"Chicago State University, Illinois, United States"
Dresden University of Technology,"Dresden University of Technology, Sohag, Germany"
Colorado School of Mines,"Colorado School of Mines, Colorado, United States"
Friedrich-Alexander-University Erlangen-Nürnberg,"Friedrich-Alexander-University Erlangen-Nürnberg, Bavaria, Germany"
Technical University of Dortmund,"Technical University of Dortmund, North Rhine-Westphilia, Germany"
"California State University, San Bernardino","California State University, San Bernardino, California, United States"
Concordia University - Ann Arbor,"Concordia University - Ann Arbor, Michigan, United States"
Australian National University,"Australian National University, Australian Capital Territory, Australia"
Brock University,"Brock University, Ontario, Canada"
Western Illinois University,"Western Illinois University, Illinois, United States"
Georgetown University,"Georgetown University, District of Columbia, United States"
Indiana State University,"Indiana State University, Indiana, United States"
State University of New York Polytechnic Institute,"State University of New York Polytechnic Institute, New York, United States"
Eastern Michigan University,"Eastern Michigan University, Michigan, United States"
Fairleigh Dickinson University,"Fairleigh Dickinson University, New Jersey, United States"
University of Adelaide,"University of Adelaide, South Australia, Australia"
Seattle University,"Seattle University, Washington, United States"
State University of New York at New Paltz,"State University of New York at New Paltz, New York, United States"
Northeastern Illinois University,"Northeastern Illinois University, Illinois, United States"
University of Denver,"University of Denver, Colorado, United States"
University of Missouri-St. Louis,"University of Missouri-St. Louis, Missouri, United States"
Concordia University of Edmonton,"Concordia University of Edmonton, Alberta, Canada"
Rowan University,"Rowan University, New Jersey, United States"
Grand Valley State University,"Grand Valley State University, Michigan, United States"
"City University Of New York, Brooklyn College","City University Of New York, Brooklyn College, New York, United States"
"California State University, San Marcos","California State University, San Marcos, California, United States"
Governors State University,"Governors State University, Illinois, United States"
University of Northern British Columbia,"University of Northern British Columbia, British Columbia, Canada"
"California State University, Dominguez Hills","California State University, Dominguez Hills, California, United States"
University of North Carolina at Greensboro,"University of North Carolina at Greensboro, North Carolina, United States"
Chemnitz University of Technology,"Chemnitz University of Technology, Sohag, Germany"
Dakota State University,"Dakota State University, South Dakota, United States"
Albert Ludwig University of Freiburg,"Albert Ludwig University of Freiburg, Baden-Warttemberg, Germany"
Braunschweig University of Technology,"Braunschweig University of Technology, Lower Saxony, Germany"
Technical University of Kaiserslautern,"Technical University of Kaiserslautern, Rhineland-Palatinate, Germany"
"California State University, Channel Islands","California State University, Channel Islands, California, United States"
"University of Nebraska, Omaha","University of Nebraska, Omaha, Nebraska, United States"
Clarkson University,"Clarkson University, New York, United States"
University of Quebec in Montreal,"University of Quebec in Montreal, Quebec, Canada"
Adelphi University,"Adelphi University, New York, United States"
"University of Washington, Tacoma","University of Washington, Tacoma, Washington, United States"
Nova Southeastern University,"Nova Southeastern University, Florida, United States"
Leibniz University of Hannover,"Leibniz University of Hannover, Lower Saxony, Germany"
University of Colorado at Colorado Springs,"University of Colorado at Colorado Springs, Colorado, United States"
"University of Nevada, Reno","University of Nevada, Reno, Nevada, United States"
National University,"National University, California, United States"
Virginia Commonwealth University,"Virginia Commonwealth University, Virginia, United States"
"University of Washington, Bothell","University of Washington, Bothell, Washington, United States"
Sacred Heart University,"Sacred Heart University, Connecticut, United States"
University of Bonn,"University of Bonn, North Rhine-Westphilia, Germany"
Bridgewater State University,"Bridgewater State University, Massachusetts, United States"
Fordham University,"Fordham University, New York, United States"
Humboldt University of Berlin,"Humboldt University of Berlin, Berlin, Germany"
St. Cloud State University,"St. Cloud State University, Minnesota, United States"
Emory University,"Emory University, Georgia, United States"
University of the Pacific,"University of the Pacific, California, United States"
Howard University,"Howard University, District of Columbia, United States"
Southeast Missouri State University,"Southeast Missouri State University, Missouri, United States"
University of Arkansas at Little Rock,"University of Arkansas at Little Rock, Arkansas, United States"
University of Central Oklahoma,"University of Central Oklahoma, Oklahoma, United States"
University of Houston-Victoria,"University of Houston-Victoria, Texas, United States"
"California Polytechnic State University, San Luis Obispo","California Polytechnic State University, San Luis Obispo, California, United States"
Loyola University Chicago,"Loyola University Chicago, Ohio, United States"
Oklahoma City University,"Oklahoma City University, Oklahoma, United States"
Texas Southern University,"Texas Southern University, Texas, United States"
Northeastern University - Silicon Valley,"Northeastern University - Silicon Valley, California, United States"
Appalachian State University,"Appalachian State University, North Carolina, United States"
The University of Southern Mississippi,"The University of Southern Mississippi, Mississippi, United States"
Northwestern Polytechnic University,"Northwestern Polytechnic University, California, United States"
Baylor University,"Baylor University, Texas, United States"
"City University Of New York, Queens College","City University Of New York, Queens College, New York, United States"
"Eberhard Karls University, Tübingen","Eberhard Karls University, Tübingen, Baden-Warttemberg, Germany"
College of William & Mary,"College of William & Mary, Virginia, United States"
Clausthal University of Technology,"Clausthal University of Technology, Lower Saxony, Germany"
Acadia University,"Acadia University, Nova Scotia, Canada"
University of Lethbridge,"University of Lethbridge, Alberta, Canada"
Duquesne University,"Duquesne University, Pennsylvania, United States"
Troy University,"Troy University, Alabama, United States"
"Washington State University, Vancouver","Washington State University, Vancouver, Washington, United States"
University of Paderborn,"University of Paderborn, North Rhine-Westphilia, Germany"
"University of British Columbia, Okanagan","University of British Columbia, Okanagan, British Columbia, Canada"
Colorado Technical University,"Colorado Technical University, Colorado, United States"
Bowie State University,"Bowie State University, Maryland, United States"
Uppsala University,"Uppsala University, Uppsala l'n, Sweden"
Northeastern University-Seattle,"Northeastern University-Seattle, Washington, United States"
University of Tulsa,"University of Tulsa, Oklahoma, United States"
Columbus State University,"Columbus State University, Georgia, United States"
University of Ulm,"University of Ulm, Baden-Warttemberg, Germany"
Clark University,"Clark University, Massachusetts, United States"
Marquette University,"Marquette University, Wisconsin, United States"
University of Rostock,"University of Rostock, Mecklenburg-Vorpommern, Germany"
University of Kiel (Christian-Albrechts),"University of Kiel (Christian-Albrechts), Schleswig-Holstein, Germany"
Ilmenau University of Technology,"Ilmenau University of Technology, Thuringia, Germany"
Brandeis University,"Brandeis University, Massachusetts, United States"
Hofstra University,"Hofstra University, New York, United States"
St. Francis Xavier University,"St. Francis Xavier University, Nova Scotia, Canada"
Central Connecticut State University,"Central Connecticut State University, Connecticut, United States"
University of Hawaii at Manoa,"University of Hawaii at Manoa, Hawaii, United States"
"Heidelberg University, Ruperto Carola","Heidelberg University, Ruperto Carola, Baden-Warttemberg, Germany"
East Carolina University,"East Carolina University, North Carolina, United States"
The University of Rhode Island,"The University of Rhode Island, Rhode Island, United States"
St. John's University,"St. John's University, New York, United States"
University of Texas Rio Grande Valley,"University of Texas Rio Grande Valley, Texas, United States"
University of Maryland Eastern Shore,"University of Maryland Eastern Shore, Maryland, United States"
Edith Cowan University,"Edith Cowan University, Western Australia, Australia"
"City University Of New York, Staten Island","City University Of New York, Staten Island, New York, United States"
Montclair State University,"Montclair State University, New Jersey, United States"
University of Texas - Pan American,"University of Texas - Pan American, Texas, United States"
Midwestern State University,"Midwestern State University, Texas, United States"
University of North America,"University of North America, Virginia, United States"
"Missouri State University, Springfield","Missouri State University, Springfield, Missouri, United States"
University of South Dakota,"University of South Dakota, South Dakota, United States"
University of New Orleans,"University of New Orleans, Louisiana, United States"
University of Bayreuth,"University of Bayreuth, Bavaria, Germany"
University of Leicester,"University of Leicester, Leicester, United Kingdom"
University of Potsdam,"University of Potsdam, Brandenburg, Germany"
Maharishi University of Management,"Maharishi University of Management, Iowa, United States"
American University,"American University, Washington, United States"
The University of Vermont,"The University of Vermont, Vermont, United States"
Western Kentucky University,"Western Kentucky University, Kentucky, United States"
East Tennessee State University,"East Tennessee State University, Tennessee, United States"
Delaware State University,"Delaware State University, Delaware, United States"
"Charles Sturt University, Bathhurst","Charles Sturt University, Bathhurst, New South Wales, Australia"
Linköping University,"Linköping University, Östergötland, Sweden"
City University of Seattle,"City University of Seattle, Washington, United States"
Leipzig University,"Leipzig University, Sohag, Germany"
Roosevelt University,"Roosevelt University, Illinois, United States"
"University of New England, Australia","University of New England, Australia, New South Wales, Australia"
"Northeastern University, Vancouver","Northeastern University, Vancouver, British Columbia, Canada"
South Dakota School of Mines and Technology,"South Dakota School of Mines and Technology, South Dakota, United States"
Bishops University,"Bishops University, Quebec, Canada"
University of Otago,"University of Otago, Otago, New Zealand"
Middle Tennessee State University,"Middle Tennessee State University, Tennessee, United States"
Wake Forest University,"Wake Forest University, North Carolina, United States"
Marist College,"Marist College, New York, United States"
Rivier University,"Rivier University, New Hampshire, United States"
University of Geneva,"University of Geneva, Geneva, Switzerland"
Shippensburg University of Pennsylvania,"Shippensburg University of Pennsylvania, Pennsylvania, United States"
"City University Of New York, Lehman College","City University Of New York, Lehman College, New York, United States"
James Madison University,"James Madison University, Virginia, United States"
University of the Bundeswehr Munich,"University of the Bundeswehr Munich, Bavaria, Germany"
Lewis University,"Lewis University, Illinois, United States"
New Mexico Institute of Mining and Technology,"New Mexico Institute of Mining and Technology, New Mexico, United States"
University of West Georgia,"University of West Georgia, Georgia, United States"
Eastern Washington University,"Eastern Washington University, Washington, United States"
Monmouth University,"Monmouth University, Illinois, United States"
"University of Southern Mississippi, Gulf Coast","University of Southern Mississippi, Gulf Coast, Michigan, United States"
Philipps-University Marburg,"Philipps-University Marburg, Hesse, Germany"
Clark Atlanta University,"Clark Atlanta University, Georgia, United States"
Helmut Schmidt University (Bundeswehr),"Helmut Schmidt University (Bundeswehr), Hamburg, Germany"
Northern Kentucky University,"Northern Kentucky University, Kentucky, United States"
"St. Marys University, Texas","St. Marys University, Texas, Texas, United States"
University of Bamberg (Otto-Friedrich),"University of Bamberg (Otto-Friedrich), Bavaria, Germany"
University of Tsukuba,"University of Tsukuba, Ibaraki, Japan"
University of Göttingen,"University of Göttingen, Lower Saxony, Germany"
Westcliff University,"Westcliff University, California, United States"
"Fairleigh Dickinson University, Florham","Fairleigh Dickinson University, Florham, New Jersey, United States"
University of West Florida,"University of West Florida, Florida, United States"
University of Montana,"University of Montana, Montana, United States"
Metropolitan State University,"Metropolitan State University, Minnesota, United States"
University of Sussex,"University of Sussex, East Sussex, United Kingdom"
Mississippi College,"Mississippi College, Mississippi, United States"
Julius Maximilians University of Würzburg,"Julius Maximilians University of Würzburg, Bavaria, Germany"
École Normale Supérieure de Lyon,"École Normale Supérieure de Lyon, Rhône, France"
Towson University,"Towson University, Maryland, United States"
Southern University and A&M College,"Southern University and A&M College, Louisiana, United States"
University of Augsburg,"University of Augsburg, Bavaria, Germany"
Tokyo Metropolitan University,"Tokyo Metropolitan University, Tokyo, Japan"
East Stroudsburg University,"East Stroudsburg University, Pennsylvania, United States"
Southern Oregon University,"Southern Oregon University, Oregon, United States"
Bielefeld University,"Bielefeld University, North Rhine-Westphilia, Germany"
West Chester University of Pennsylvania,"West Chester University of Pennsylvania, Pennsylvania, United States"
Western Washington University,"Western Washington University, Washington, United States"
"Fontbonne University, St Louis","Fontbonne University, St Louis, Missouri, United States"
University of Bern,"University of Bern, Bern, Switzerland"
Kutztown University of Pennsylvania,"Kutztown University of Pennsylvania, Pennsylvania, United States"
Christopher Newport University,"Christopher Newport University, Virginia, United States"
Malmo University,"Malmo University, Sk'ne l'n, Sweden"
University of St. Gallen,"University of St. Gallen, Sankt Gallen, Switzerland"
Hood College,"Hood College, Maryland, United States"
New Mexico Highlands University,"New Mexico Highlands University, New Mexico, United States"
University of Moncton,"University of Moncton, New Brunswick, Canada"
International Technological University,"International Technological University, California, United States"
University of East Anglia,"University of East Anglia, Norfolk, United Kingdom"
Norfolk State University,"Norfolk State University, Virginia, United States"
The University of Texas Permian Basin,"The University of Texas Permian Basin, Texas, United States"
The College of Saint Rose,"The College of Saint Rose, New York, United States"
Johannes Gutenberg University of Mainz,"Johannes Gutenberg University of Mainz, Rhineland-Palatinate, Germany"
Halmstad University,"Halmstad University, Hallands l'n, Sweden"
Middlesex University,"Middlesex University, London, United Kingdom"
University of Copenhagen,"University of Copenhagen, Copenhagen, Denmark"
Jonkoping University,"Jonkoping University, J'nk'pings l'n, Sweden"
University of Southern Maine,"University of Southern Maine, Maine, United States"
Frostburg State University,"Frostburg State University, Maryland, United States"
Cornell Tech,"Cornell Tech, New York, United States"
Auburn University at Montgomery,"Auburn University at Montgomery, Alabama, United States"
North Carolina Central University,"North Carolina Central University, North Carolina, United States"
Bangor University,"Bangor University, Gwynedd, United Kingdom"
Southern Adventist University,"Southern Adventist University, Tennessee, United States"
Cardiff Metropolitan University,"Cardiff Metropolitan University, Wales, United Kingdom"
Université du Québec à Rimouski,"Université du Québec à Rimouski, Quebec, Canada"
"New York Institute of Technology, Vancouver","New York Institute of Technology, Vancouver, New York, United States"
Purdue University Fort Wayne,"Purdue University Fort Wayne, Indiana, United States"
University of Basel,"University of Basel, Basel-Stadt, Switzerland"
Aarhus University,"Aarhus University, Midtjylland, Denmark"
"California State University, Bakersfield","California State University, Bakersfield, California, United States"
Trinity University,"Trinity University, Texas, United States"
Sorbonne University,"Sorbonne University, Paris, France"
Virginia State University,"Virginia State University, Virginia, United States"
University of Neuchâtel,"University of Neuchâtel, Neuch'tel, Switzerland"
Monroe College,"Monroe College, New York, United States"
Keele University,"Keele University, Staffordshire, United Kingdom"
University of Bedfordshire,"University of Bedfordshire, Buckinghamshire, United Kingdom"
Saginaw Valley State University,"Saginaw Valley State University, Michigan, United States"
University of Rennes 1,"University of Rennes 1, Brittany, France"
University of Fribourg,"University of Fribourg, Fribourg, Switzerland"
Nantes Université,"Nantes Université, Pays de la Loire, France"
Staffordshire University,"Staffordshire University, Stoke-on-Trent, United Kingdom"
Fitchburg State University,"Fitchburg State University, Massachusetts, United States"
"University of the Pacific, San Francisco","University of the Pacific, San Francisco, California, United States"
University of Gothenburg,"University of Gothenburg, V'stra G'talands l'n, Sweden"
University of Chester,"University of Chester, Warrington, United Kingdom"
Iona College,"Iona College, New York, United States"
West Virginia State University,"West Virginia State University, West Virginia, United States"
Oklahoma Christian University,"Oklahoma Christian University, Oklahoma, United States"
"University of Southern Denmark, Odense","University of Southern Denmark, Odense, Odense, Denmark"
Esslingen University of Applied Sciences,"Esslingen University of Applied Sciences, Esslingen, Germany"
HTW Berlin,"HTW Berlin, Berlin, Germany"
FH Schmalkalden University of Applied Sciences,"FH Schmalkalden University of Applied Sciences, Schmalkalden, Germany"
Florida Polytechnic University,"Florida Polytechnic University, Florida, United States"
Saint Leo University,"Saint Leo University, St. Leo, United States"
"Charité – Universitätsmedizin Berlin, Charité Mitte","Charité – Universitätsmedizin Berlin, Charité Mitte, Mitte, Germany"
Roskilde University,"Roskilde University, Sjælland, Denmark"
"Concordia University, Chicago","Concordia University, Chicago, Illinois, United States"
"Birkbeck, University of London","Birkbeck, University of London, London, United Kingdom"
University of Strasbourg,"University of Strasbourg, Strasbourg, France"
École normale supérieure Paris-Saclay,"École normale supérieure Paris-Saclay, Gif-sur-Yvette, France"
Universite de Lille,"Universite de Lille, Lille, France"
Claude Bernard University Lyon 1,"Claude Bernard University Lyon 1, Villeurbanne, France"
Jean Monnet University,"Jean Monnet University, Saint-Étienne, France"
Mannheim University of Applied Sciences,"Mannheim University of Applied Sciences, Mannheim, Germany"
National Institute For Applied Science - Lyon,"National Institute For Applied Science - Lyon, Villeurbanne, France"
Lucerne University of Applied Sciences and Arts,"Lucerne University of Applied Sciences and Arts, Luzern, Switzerland"
University of Poitiers,"University of Poitiers, Poitiers, France"
Mercy College,"Mercy College, New York, United States"
Mines ParisTech,"Mines ParisTech, Paris, France"
Université de Pau et des Pays de l'Adour,"Université de Pau et des Pays de l'Adour, Pyrénées-Atlantiques, France"
Augusta University,"Augusta University, Georgia, United States"
Angelo State University,"Angelo State University, Texas, United States"
International University of applied sciences,"International University of applied sciences, Berlin, Germany"
York St John University,"York St John University, North Yorkshire, United Kingdom"
"Northeastern University, Oakland","Northeastern University, Oakland, California, United States"
Charleston Southern University,"Charleston Southern University, South Carolina, United States"
Graz University of Technology,"Graz University of Technology, Lower Austria, Austria"
Texas A&M University - San Antonio,"Texas A&M University - San Antonio, Texas, United States"
"Fairleigh Dickinson University , Vancouver","Fairleigh Dickinson University , Vancouver, Vancouver, Canada"
Liverpool Hope University,"Liverpool Hope University, Liverpool, United Kingdom"
"Northeastern University, Arlington","Northeastern University, Arlington, Virginia, United States"
Fulda University of Applied Sciences,"Fulda University of Applied Sciences, Hesse, Germany"
"Concordia University, Wisconsin","Concordia University, Wisconsin, Wisconsin, United States"
Constructor Institute,"Constructor Institute, Schaffhausen, Switzerland"
"Rutgers University, Camden","Rutgers University, Camden, New Jersey, United States"
EPITA - School of Engineering and Computer Science,"EPITA - School of Engineering and Computer Science, Toulouse, France"
Oral Roberts University,"Oral Roberts University, Oklahoma, United States"
Avila University,"Avila University, Missouri, United States"
Tennessee State University,"Tennessee State University, Tennessee, United States"
Austin Peay State University,"Austin Peay State University, Tennessee, United States"
Weber State University,"Weber State University, Utah, United States"
University of South-Eastern Norway,"University of South-Eastern Norway, Kongsberg, Norway"
Zurich University of Applied Sciences,"Zurich University of Applied Sciences, Schleswig-Holstein, Germany"
Østfold University College,"Østfold University College, Halden, Norway"
Eastern Kentucky University,"Eastern Kentucky University, Kentucky, United States"
Deggendorf Institute of Technology (Cham),"Deggendorf Institute of Technology (Cham), Bavaria, Germany"
Ravensbourne University London,"Ravensbourne University London, London, United Kingdom"
University of St. Thomas,"University of St. Thomas, Minnesota, United States"
HES-SO - Haute Ecole Spécialisée de Suisse occidentale (Siège),"HES-SO - Haute Ecole Spécialisée de Suisse occidentale (Siège), Geneva, Switzerland"
University of North Carolina Wilmington,"University of North Carolina Wilmington, North Carolina, United States"
Ludwig Maximilian University of Munich,"Ludwig Maximilian University of Munich, Bavaria, Germany"
University of Sydney,"University of Sydney, New South Wales, Australia"
Trent University,"Trent University, Ontario, Canada"
"Minnesota State University, Mankato","Minnesota State University, Mankato, Minnesota, United States"
Technical University of Braunschweig,"Technical University of Braunschweig, Lower Saxony, Germany"
Freie University of Berlin,"Freie University of Berlin, Berlin, Germany"
Marshall University,"Marshall University, West Virginia, United States"
London School of Economics and Political Science,"London School of Economics and Political Science, London, United Kingdom"
HEC Montréal,"HEC Montréal, Quebec, Canada"
Eberhard Karls University of Tübingen,"Eberhard Karls University of Tübingen, Baden-Warttemberg, Germany"
"Eberhard Karls University, Tubingen","Eberhard Karls University, Tubingen, Baden-Warttemberg, Germany"
Thompson Rivers University,"Thompson Rivers University, British Columbia, Canada"
HEC Paris,"HEC Paris, Paris, France"
Constructor University,"Constructor University, Bremen, Germany"
University of Hildesheim,"University of Hildesheim, Sohag, Germany"
Erasmus University Rotterdam,"Erasmus University Rotterdam, South Holland, Netherlands"
University of Konstanz,"University of Konstanz, Baden-Warttemberg, Germany"
University of Münster,"University of Münster, North Rhine-Westphilia, Germany"
James Cook University Singapore,"James Cook University Singapore, Singapore, Singapore"
Christian Brothers University,"Christian Brothers University, Tennessee, United States"
St Thomas University,"St Thomas University, Florida, United States"
Leuphana University of Lüneburg,"Leuphana University of Lüneburg, Lower Saxony, Germany"
"Johnson and Wales University, Providence","Johnson and Wales University, Providence, Rhode Island, United States"
New England College,"New England College, New Hampshire, United States"
Tilburg University,"Tilburg University, North Brabant, Netherlands"
Chapman University,"Chapman University, California, United States"
Mercyhurst University,"Mercyhurst University, Pennsylvania, United States"
IÉSEG School of Management,"IÉSEG School of Management, Paris, France"
City University of New York,"City University of New York, New York, United States"
Drew University,"Drew University, New Jersey, United States"
University of Europe for Applied Sciences,"University of Europe for Applied Sciences, Berlin, Germany"
Frankfurt School of Finance & Management,"Frankfurt School of Finance & Management, Hesse, Germany"
The University of Buckingham,"The University of Buckingham, Buckinghamshire, United Kingdom"
Rennes School of Business,"Rennes School of Business, Brittany, France"
"Georgian College, Barrie","Georgian College, Barrie, Barrie, Canada"
University of Padua,"University of Padua, Padova, Italy"
Cullen College Of Engineering,"Cullen College Of Engineering, Texas, United States"
Glasgow Caledonian University,"Glasgow Caledonian University, Glasgow City, United Kingdom"
University of Chichester,"University of Chichester, West Sussex, United Kingdom"
The Hong Kong Polytechnic University,"The Hong Kong Polytechnic University, Kowloon, Hong Kong"
University of Roehampton,"University of Roehampton, London, United Kingdom"
Bay Atlantic University,"Bay Atlantic University, Washington, United States"
Tiffin University,"Tiffin University, Ohio, United States"
University of Suffolk,"University of Suffolk, Suffolk, United Kingdom"
University of Sunderland,"University of Sunderland, Sunderland, United Kingdom"
GISMA Business School,"GISMA Business School, Berlin, Germany"
Berlin School of Economics and Law,"Berlin School of Economics and Law, Berlin, Germany"
Robert Morris University,"Robert Morris University, Pennsylvania, United States"
Versailles Saint-Quentin-en-Yvelines University,"Versailles Saint-Quentin-en-Yvelines University, Versailles, France"
University of Applied Sciences Emden/Leer,"University of Applied Sciences Emden/Leer, Lower Saxony, Germany"
Arden University,"Arden University, Coventry, United Kingdom"
Berlin School of Business and Innovation,"Berlin School of Business and Innovation, Berlin, Germany"
University of Gloucestershire,"University of Gloucestershire, Gloucestershire, United Kingdom"
University of Oslo,"University of Oslo, Oslo, Norway"
University of Verona,"University of Verona, Verona, Italy"
Bocconi University,"Bocconi University, Milan, Italy"
Charles III University of Madrid,"Charles III University of Madrid, Madrid, Spain"
Norwegian University of Life Sciences,"Norwegian University of Life Sciences, Ås, Norway"
University of Milano-Bicocca,"University of Milano-Bicocca, Milano, Italy"
University of Pisa,"University of Pisa, Pisa, Italy"
Swiss Federal Institute of Technology Lausanne,"Swiss Federal Institute of Technology Lausanne, Lausanne, Switzerland"
Zurich University of Applied Sciences,"Zurich University of Applied Sciences, Zurich, Switzerland"
University of Stavanger,"University of Stavanger, Stavanger, Norway"
SUNY Buffalo State University,"SUNY Buffalo State University, New York, United States"
Regents University London,"Regents University London, London, United Kingdom"
James Cook University,"James Cook University, Queensland, Australia"
Kiel University of Applied Science,"Kiel University of Applied Science, Brandenburg, Germany"
Berliner Hochschule für Technik (BHT),"Berliner Hochschule für Technik (BHT), Berlin, Germany"
CY Cergy Paris University,"CY Cergy Paris University, Toulouse, France"
University of Niagara Falls Canada,"University of Niagara Falls Canada, Ontario, Canada"
University of Brescia,"University of Brescia, Brescia, Italy"
EDC Paris Business School,"EDC Paris Business School, Île-de-France, France"
State University of New York at Plattsburgh,"State University of New York at Plattsburgh, New York, United States"
Radford University,"Radford University, Virginia, United States"
"Oklahoma State University, Tulsa","Oklahoma State University, Tulsa, Oklahoma, United States"
Pittsburg State University,"Pittsburg State University, Kansas, United States"
Alcorn State University,"Alcorn State University, Mississippi, United States"
"Griffith University, Brisbane","Griffith University, Brisbane, Queensland, Australia"
Freiberg University of Mining and Technology,"Freiberg University of Mining and Technology, Sohag, Germany"
